group	name
LR	Annie Delmont-Koropoulis
LR	Christophe-André Frassa
LR	Joëlle Garriaud-Maylam
LR	Jean-François Husson
LR	Corinne Imbert
LR	Else Joseph
LR	Christine Lavarde
LR	Brigitte Micouleau
LR	Sophie Primas
LR	Catherine Procaccia
LR	Jean-François Rapin
LR	Évelyne Renaud-Garabedian
LR	Henri Leroy
LR	Louis-Jean de Nicolay
LREM	Clara Chassaniol
LREM	Alexis Izard
EELV	Cyrielle Chatelain
EELV	Marie-Charlotte Garin
LR	Édouard Courtial
LREM	Émilie Chandler
LREM	Éric Alauzet
LFI	Hendrik Davi
LREM	Sophie Errante
EELV	Jérémie Iordanoff
LREM	Patricia Lemoine
LFI	Murielle Lepvraud
LFI	Élisa Martin
LREM	Stéphane Mazars
LR	Isabelle Valentin
LR	Arnaud Bazin
LR	Sylvie Goy-Chavent
LR	Laurent Somon
LR	André Reichardt
LREM	Servane Hugues
LREM	Sophie Panonacle
LREM	Mounir Belhamiti
MoDem	Philippe Bolo
LREM	Benoît Bordat
MoDem	Laurent Croizier
MoDem	Bruno Fuchs
MoDem	Luc Geismar
LREM	Philippe Guillemard
LREM	Laurence Heydel Grillere
LREM	Alexandre Holroyd
MoDem	Fabien Lainé
LREM	Fabrice Le Vigoureux
MoDem	Delphine Lingemann
LREM	Ludovic Mendes
MoDem	Jimmy Pahun
LREM	Didier Paris
MoDem	Josy Poueyto
MoDem	Laurence Vichnievsky
EELV	Lisa Belluco
EELV	Karim Ben Cheikh
LFI	Idir Boumertit
PCF	Soumya Bourouaha
LFI	Catherine Couturier
LR	Vincent Descoeur
LREM	Philippe Dunoyer
LR	Jean-Jacques Gaultier
PCF	Stéphane Peu
EELV	Sébastien Peytavie
LR	Elsa Schalck
LR	Anne Chain-Larché
LR	Philippe Dominati
MoDem	Éric Martineau
LR	Vincent Rolland
LR	Christian Cambon
LR	Alain Milon
LFI	Michel Sala
LR	Antoine Vermorel-Marques
LR	Jean-Noël Cardoux
LR	Patrick Chaize
LR	Nicolas Ray
LR	Jean-Pierre Vigier
LR	Catherine Deroche
LR	Mathieu Darnaud
LR	Pierre Vatin
PCF	Yannick Monnet
PCF	Nicolas Sansu
PCF	Hubert Wulfranc
LR	Pascale Gruny
LR	Thierry Meignen
LR	Jean-Pierre Taite
PCF	Karine Lebon
LR	Olivier Rietmann
PCF	Frédéric Maillot
PCF	Moetai Brotherson
PCF	Marcellin Nadeau
LR	Christelle Petex-Levet
PCF	Davy Rimane
LR	Vincent Seitlinger
LR	Christine Bonfanti-Dossat
LR	Fabien Genet
LR	Hugues Saury
LR	Frédérique Gerbaud
LR	Albéric de Montgolfier
LR	Antoine Lefèvre
LR	Pierre Frogier
LR	Marie Mercier
LR	Bruno Sido
LR	Alain Chatillon
LR	Jacques Grosperrin
LR	Claudine Thomas
LR	Véronique Del Fabro
